release_date,channel,version,dart_sdk_version,engine_commit,snapshot_hash
2023-09-15T17:00:54.507285Z,beta,3.15.0-15.1.pre,3.2.0 (build 3.2.0-134.1.beta),5c861944948efff4217b5f1fe1d04d23de39d54c,fd89ca26d38c62af5c097a16d3418736
2023-09-13T20:12:13.313067Z,stable,3.13.4,3.1.2,9064459a8b0dcd32877107f6002cc429a71659d1,7dbbeeb8ef7b91338640dca3927636de
2023-09-13T19:53:41.927127Z,stable,3.13.3,3.1.1,17a711a7765a198264b20d8c4983f2f6f1271271,7dbbeeb8ef7b91338640dca3927636de
2023-09-07T17:19:53.810487Z,stable,3.13.3,3.1.1,b8d35810e91ab8fc39ba5e7a41bff6f697e8e3a8,7dbbeeb8ef7b91338640dca3927636de
2023-09-01T01:24:16.876842Z,beta,3.14.0-0.2.pre,3.2.0 (build 3.2.0-42.2.beta),b93c76ab94207adc619e02b061f864e967983c22,b63f41229f2d3db31322b62c3d39978a
2023-08-30T17:53:24.556079Z,stable,3.13.2,3.1.0,b20183e04096094bcc37d9cde2a4b96f5cc684cf,7dbbeeb8ef7b91338640dca3927636de
2023-08-23T18:00:11.904991Z,stable,3.13.1,3.1.0,b20183e04096094bcc37d9cde2a4b96f5cc684cf,7dbbeeb8ef7b91338640dca3927636de
2023-08-21T19:10:08.006641Z,beta,3.14.0-0.1.pre,3.2.0 (build 3.2.0-42.1.beta),f613b678245991e74839f201ecd3f22b75465813,b63f41229f2d3db31322b62c3d39978a
2023-08-16T17:31:30.644124Z,stable,3.13.0,3.1.0,1ac611c64eadbd93c5f5aba5494b8fc3b35ee952,7dbbeeb8ef7b91338640dca3927636de
2023-08-14T17:20:25.562729Z,beta,3.13.0-0.4.pre,3.1.0 (build 3.1.0-262.3.beta),73d89ca7c5a20cbddde69ab1a6dff8fe3ecbfd70,7dbbeeb8ef7b91338640dca3927636de
2023-08-07T18:39:52.650032Z,beta,3.13.0-0.3.pre,3.1.0 (build 3.1.0-262.3.beta),c1f977f72b68da673ec493ab5df0beacacc7a88b,7dbbeeb8ef7b91338640dca3927636de
2023-07-19T17:45:29.997067Z,beta,3.13.0-0.2.pre,3.1.0 (build 3.1.0-262.2.beta),e14db68a86199a9fa5fd9628d8e290aafc0f6917,7dbbeeb8ef7b91338640dca3927636de
2023-07-13T01:11:07.927907Z,stable,3.10.6,3.0.6,cdbeda788a293fa29665dc3fa3d6e63bd221cb0d,90b56a561f70cd55e972cb49b79b3d8b
2023-07-12T17:09:30.280430Z,beta,3.13.0-0.1.pre,3.1.0 (build 3.1.0-262.1.beta),ae470c12d363f9b7c6ace259891b783b0fab64dc,7dbbeeb8ef7b91338640dca3927636de
2023-06-21T17:04:02.182828Z,beta,3.12.0-1.1.pre,3.1.0 (build 3.1.0-163.1.beta),45712dd2f120092ca3c78d0098b12f0079fd966d,16ad76edd19b537bf6ea64fdd31977a7
2023-06-14T15:52:10.971872Z,stable,3.10.5,3.0.5,45f6e009110df4f34ec2cf99f63cf73b71b7a420,90b56a561f70cd55e972cb49b79b3d8b
2023-06-08T21:34:06.237391Z,beta,3.12.0,3.1.0 (build 3.1.0-163.1.beta),b84ad1ad30cca8d303b4bcb2bbd77573e4d66122,16ad76edd19b537bf6ea64fdd31977a7
2023-06-07T22:42:28.059729Z,stable,3.10.4,3.0.3,2a3401c9bbb5a9a9aec74d4f735d18a9dd3ebf2d,90b56a561f70cd55e972cb49b79b3d8b
